symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status,latest_date,latest_close,history_rows,avg_volume_50d,avg_traded_value_50d,liquidity_pass,risk_tier,liquidity_reason
BOROLTD,Borosil,19401,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,218.74,1238,238591,58720032,True,HIGH,PASS
BORORENEW,Borosil Renewables,3149,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,498.5,1238,689227,327304090,True,MEDIUM,PASS
BSHSL,Bombay Super Hybrid Seeds,812,NSE_EQ,EQUITY,ES,BE,1,,ACTIVE,2026-05-18,96.59,1238,154319,15515372,True,HIGH,PASS
BUTTERFLY,Butterfly Gandhimathi Appliances,2716,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,683.7,1238,294062,199170324,True,MEDIUM,PASS
C2C,C2C Advanced Systems,27274,NSE_EQ,EQUITY,ES,SM,150,,ACTIVE,2026-05-18,435.3,359,116952,49263081,True,HIGH,PASS
CAMLINFINE,Camlin Fine Sciences,6216,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,121.18,1238,1880486,226296734,True,MEDIUM,PASS
CAMPUS,Campus Activewear,9362,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,230.96,998,235156,55869297,True,HIGH,PASS
CANTABIL,Cantabil Retail,20160,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,226.86,1238,205224,48746905,True,HIGH,PASS
CAPACITE,Capacite Infraprojects,21749,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,224.9,1238,928878,202707445,True,MEDIUM,PASS
CAPITALSFB,Capital Small Finance Bank,22675,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,275.9,557,67592,17277635,True,HIGH,PASS
CARERATING,CARE Ratings,29113,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,1728.5,1238,67178,109556482,True,HIGH,PASS
CARRARO,Carraro,28879,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,554.4,341,220058,123393024,True,MEDIUM,PASS
CARYSIL,CARYSIL,1879,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,907.95,1238,86012,73764568,True,HIGH,PASS
CCAVENUE,AvenuesAI,16249,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,13.56,1238,11452512,165363018,True,MEDIUM,PASS
CEIGALL,Ceigall India,24742,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE,2026-05-18,332.85,438,529177,174621688,True,MEDIUM,PASS
