symbol,company_name,industry,security_id,exchange_segment,instrument,status
LGEINDIA,LG Electronics India Ltd.,Consumer Durables,760213,NSE_EQ,EQUITY,ACTIVE
LICHSGFIN,LIC Housing Finance Ltd.,Financial Services,1997,NSE_EQ,EQUITY,ACTIVE
LICI,Life Insurance Corporation of India,Financial Services,9480,NSE_EQ,EQUITY,ACTIVE
LINDEINDIA,Linde India Ltd.,Chemicals,1627,NSE_EQ,EQUITY,ACTIVE
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,17313,NSE_EQ,EQUITY,ACTIVE
LODHA,Lodha Developers Ltd.,Realty,3220,NSE_EQ,EQUITY,ACTIVE
LT,Larsen & Toubro Ltd.,Construction,11483,NSE_EQ,EQUITY,ACTIVE
LTF,L&T Finance Ltd.,Financial Services,24948,NSE_EQ,EQUITY,ACTIVE
LTFOODS,LT Foods Ltd.,Fast Moving Consumer Goods,13816,NSE_EQ,EQUITY,ACTIVE
LTM,LTM Ltd.,Information Technology,17818,NSE_EQ,EQUITY,ACTIVE
LTTS,L&T Technology Services Ltd.,Information Technology,18564,NSE_EQ,EQUITY,ACTIVE
LUPIN,Lupin Ltd.,Healthcare,10440,NSE_EQ,EQUITY,ACTIVE
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,2031,NSE_EQ,EQUITY,ACTIVE
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,Financial Services,13285,NSE_EQ,EQUITY,ACTIVE
MAHABANK,Bank of Maharashtra,Financial Services,11377,NSE_EQ,EQUITY,ACTIVE
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,19061,NSE_EQ,EQUITY,ACTIVE
MANKIND,Mankind Pharma Ltd.,Healthcare,15380,NSE_EQ,EQUITY,ACTIVE
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,7227,NSE_EQ,EQUITY,ACTIVE
MARICO,Marico Ltd.,Fast Moving Consumer Goods,4067,NSE_EQ,EQUITY,ACTIVE
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,10999,NSE_EQ,EQUITY,ACTIVE
MAXHEALTH,Max Healthcare Institute Ltd.,Healthcare,22377,NSE_EQ,EQUITY,ACTIVE
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,509,NSE_EQ,EQUITY,ACTIVE
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,31181,NSE_EQ,EQUITY,ACTIVE
MEDANTA,Global Health Ltd.,Healthcare,11956,NSE_EQ,EQUITY,ACTIVE
MEESHO,Meesho Ltd.,Consumer Services,760229,NSE_EQ,EQUITY,ACTIVE
MFSL,Max Financial Services Ltd.,Financial Services,2142,NSE_EQ,EQUITY,ACTIVE
MGL,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,17534,NSE_EQ,EQUITY,ACTIVE
MINDACORP,Minda Corporation Ltd.,Automobile and Auto Components,25897,NSE_EQ,EQUITY,ACTIVE
MMTC,MMTC Ltd.,Services,17957,NSE_EQ,EQUITY,ACTIVE
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,25510,NSE_EQ,EQUITY,ACTIVE
MOTILALOFS,Motilal Oswal Financial Services Ltd.,Financial Services,14947,NSE_EQ,EQUITY,ACTIVE
MPHASIS,MphasiS Ltd.,Information Technology,4503,NSE_EQ,EQUITY,ACTIVE
MRF,MRF Ltd.,Automobile and Auto Components,2277,NSE_EQ,EQUITY,ACTIVE
MRPL,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,2283,NSE_EQ,EQUITY,ACTIVE
MSUMI,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,8596,NSE_EQ,EQUITY,ACTIVE
MUTHOOTFIN,Muthoot Finance Ltd.,Financial Services,23650,NSE_EQ,EQUITY,ACTIVE
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,357,NSE_EQ,EQUITY,ACTIVE
NATCOPHARM,NATCO Pharma Ltd.,Healthcare,3918,NSE_EQ,EQUITY,ACTIVE
NATIONALUM,National Aluminium Co. Ltd.,Metals & Mining,6364,NSE_EQ,EQUITY,ACTIVE
NAUKRI,Info Edge (India) Ltd.,Consumer Services,13751,NSE_EQ,EQUITY,ACTIVE
NAVA,Nava Ltd.,Power,4014,NSE_EQ,EQUITY,ACTIVE
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,14672,NSE_EQ,EQUITY,ACTIVE
NBCC,NBCC (India) Ltd.,Construction,31415,NSE_EQ,EQUITY,ACTIVE
NCC,NCC Ltd.,Construction,2319,NSE_EQ,EQUITY,ACTIVE
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,17963,NSE_EQ,EQUITY,ACTIVE
NETWEB,Netweb Technologies India Ltd.,Information Technology,17433,NSE_EQ,EQUITY,ACTIVE
NEULANDLAB,Neuland Laboratories Ltd.,Healthcare,2406,NSE_EQ,EQUITY,ACTIVE
NEWGEN,Newgen Software Technologies Ltd.,Information Technology,1164,NSE_EQ,EQUITY,ACTIVE
NH,Narayana Hrudayalaya Ltd.,Healthcare,11840,NSE_EQ,EQUITY,ACTIVE
NHPC,NHPC Ltd.,Power,17400,NSE_EQ,EQUITY,ACTIVE
NIACL,The New India Assurance Company Ltd.,Financial Services,399,NSE_EQ,EQUITY,ACTIVE
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,Financial Services,27097,NSE_EQ,EQUITY,ACTIVE
NLCINDIA,NLC India Ltd.,Power,8585,NSE_EQ,EQUITY,ACTIVE
NMDC,NMDC Ltd.,Metals & Mining,15332,NSE_EQ,EQUITY,ACTIVE
NSLNISP,NMDC Steel Ltd.,Metals & Mining,14180,NSE_EQ,EQUITY,ACTIVE
NTPC,NTPC Ltd.,Power,11630,NSE_EQ,EQUITY,ACTIVE
NTPCGREEN,NTPC Green Energy Ltd.,Power,27176,NSE_EQ,EQUITY,ACTIVE
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,18721,NSE_EQ,EQUITY,ACTIVE
NUVOCO,Nuvoco Vistas Corporation Ltd.,Construction Materials,5426,NSE_EQ,EQUITY,ACTIVE
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,6545,NSE_EQ,EQUITY,ACTIVE
OBEROIRLTY,Oberoi Realty Ltd.,Realty,20242,NSE_EQ,EQUITY,ACTIVE
OFSS,Oracle Financial Services Software Ltd.,Information Technology,10738,NSE_EQ,EQUITY,ACTIVE
OIL,Oil India Ltd.,Oil Gas & Consumable Fuels,17438,NSE_EQ,EQUITY,ACTIVE
OLAELEC,Ola Electric Mobility Ltd.,Automobile and Auto Components,24777,NSE_EQ,EQUITY,ACTIVE
