symbol,company_name,security_id,exchange_segment,instrument,instrument_type,series,lot_size,listing_date,status
APARINDS,Apar Industries,11491,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APCL,Anjani Portland Cement,20453,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APCOTEXIND,Apcotex Industries,154,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APEX,Apex Frozen Foods,21623,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APEXECO,Apex Ecotech,27291,NSE_EQ,EQUITY,ES,ST,800,,ACTIVE
APLAPOLLO,APL Apollo Tubes,25780,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APLLTD,Alembic Pharmaceuticals,25328,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APOLLO,Apollo Micro Systems,1134,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APOLLOHOSP,Apollo Hospitals,157,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APOLLOPIPE,Apollo Pipes,14361,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APOLLOTYRE,Apollo Tyres,163,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APOLSINHOT,Apollo Sindoori Hotel,6302,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APRAMEYA,Aprameya Engineering,24638,NSE_EQ,EQUITY,ES,SM,500,,ACTIVE
APS,Australian Premium Solar,21451,NSE_EQ,EQUITY,ES,SM,250,,ACTIVE
APSISAERO,Apsis Aerocom,761435,NSE_EQ,EQUITY,ES,ST,1200,,ACTIVE
APTECHT,Aptech,10755,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
APTUS,Aptus Value Housing Finance,5435,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
AQYLON,Aqylon Nexus,23365,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARABIAN,Arabian Petroleum,19253,NSE_EQ,EQUITY,ES,SM,2000,,ACTIVE
ARCHIDPLY,Archidply,16795,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARCHIES,Archies,5688,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARCIIL,ARC Insulation & Insulators,758673,NSE_EQ,EQUITY,ES,ST,1000,,ACTIVE
ARE&M,Amara Raja Energy & Mobility,100,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARENTERP,Rajdarshan Industries,181,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARFIN,Arfin,758700,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARHAM,Arham Technologies,13092,NSE_EQ,EQUITY,ES,SM,1000,,ACTIVE
ARIES,Aries Agro,15204,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARIHANT,Arihant Foundations & Housing,13885,NSE_EQ,EQUITY,ES,EQ,1,,ACTIVE
ARIHANTACA,Arihant Academy,13340,NSE_EQ,EQUITY,ES,SM,400,,ACTIVE
